id,sexo,data_nascimento,data_cadastro,cidade,sigla
94722,m,1982-04-17,2023-03-17T12:41:30,São Paulo,SP
505,m,1985-03-29,2017-10-11T22:21:33,São Paulo,SP
43346,m,1991-06-11,2020-12-16T13:08:00,Belém,PA
34349,m,1991-10-08,2020-03-26T01:47:56,Capivari,SP
100525,m,1992-07-29,2023-03-27T00:19:30,São Paulo,SP
97089,m,1993-05-24,2023-03-21T13:36:54,São Paulo,SP
40554,,1984-03-12,2020-07-31T03:30:26,São Paulo,SP
84489,m,2004-06-17,2023-02-13T22:32:06,São Paulo,SP
94679,m,1999-04-06,2023-03-17T11:14:28,São Paulo,SP
4381,m,1996-09-16,2018-05-11T18:01:44,São Paulo,SP
99490,m,1985-02-04,2023-03-25T15:15:34,São Paulo,SP
74136,,1986-10-04,2022-12-01T12:24:51,São Paulo,SP
92872,m,1988-11-19,2023-03-14T05:44:39,São Paulo,SP
110430,m,2002-04-20,2023-04-12T22:16:07,São Paulo,SP
94013,m,1994-08-13,2023-03-16T01:47:33,São Paulo,SP
102924,m,2004-03-16,2023-03-30T15:52:33,São Paulo,SP
58115,f,2000-05-08,2022-04-06T20:32:25,Belo Horizonte,MG
102457,m,1992-07-01,2023-03-29T20:29:52,São Paulo,SP
54833,m,1993-02-15,2022-01-25T18:17:00,São Paulo,SP
97533,m,1994-10-20,2023-03-22T03:46:31,São Paulo,SP
108699,m,2002-03-19,2023-04-09T18:46:40,São Paulo,SP
90341,m,1989-11-21,2023-03-08T15:08:05,São Paulo,SP
68935,,1998-07-02,2022-11-05T19:39:50,São Paulo,SP
74637,,1989-08-12,2022-12-03T07:46:32,São Paulo,SP
48844,m,1986-02-12,2021-10-06T15:29:12,Curitiba,PR
50572,m,1979-09-14,2021-11-22T13:56:26,São Paulo,SP
113131,m,2004-04-27,2023-04-16T10:42:04,São Paulo,SP
70843,f,1999-10-12,2022-11-14T12:02:19,São Paulo,SP
110783,m,1999-03-07,2023-04-13T12:47:03,São Paulo,SP
47255,m,1982-10-05,2021-08-17T22:51:39,Curitiba,PR
92832,m,1983-03-13,2023-03-14T01:33:09,São Paulo,SP
67323,m,1996-08-22,2022-10-15T23:22:46,São Paulo,SP
90686,m,1995-12-28,2023-03-09T15:34:35,São Paulo,SP
99738,m,1996-01-26,2023-03-25T21:44:32,São Paulo,SP
84107,m,1992-02-25,2023-02-11T21:36:56,São Paulo,SP
103604,m,1997-01-23,2023-03-31T17:47:51,São Paulo,SP
114057,m,1984-11-08,2023-04-16T20:27:23,São Paulo,SP
87704,m,1998-05-24,2023-03-02T02:09:39,São Paulo,SP
39649,,1975-11-15,2020-07-04T07:04:01,Campo Grande,MS
99514,m,1999-11-07,2023-03-25T16:02:10,São Paulo,SP
92032,m,1976-05-27,2023-03-12T19:12:32,São Paulo,SP
49549,m,1994-06-06,2021-10-27T12:11:44,Florianópolis,SC
111091,m,1994-12-11,2023-04-13T17:51:01,São Paulo,SP
107136,m,1992-08-31,2023-04-06T21:27:12,São Paulo,SP
115114,m,1995-08-11,2023-04-17T19:38:53,São Paulo,SP
